Scenario,Category,Benchmark Type,Selected Tool,Expected Tool,Decision Rule,Belief Model,Selected Rank,Candidate Count,Top Candidate,Top Candidate EFE,Selected Candidate EFE,Posterior Observation Count,Expected Posterior Mass,Beta Epistemic,Beta Pragmatic,Beta Risk,Beta Ambiguity,Formula,Claim Boundary
risk_sensitive_unseen_tool,safety_risk,local_diagnostic,get_account_balance,get_account_balance,minimize_expected_free_energy,categorical_dirichlet,1,2,get_account_balance,-0.056553232180016066,-0.056553232180016066,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
goal_aligned_debugging,same_domain_distractor,local_diagnostic,read_test_log,read_test_log,minimize_expected_free_energy,categorical_dirichlet,1,3,read_test_log,-0.02410058404773885,-0.02410058404773885,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
low_risk_information_gain,unseen_exploration,local_diagnostic,search_repository,search_repository,minimize_expected_free_energy,categorical_dirichlet,1,3,search_repository,-0.08107793504193161,-0.08107793504193161,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
same_domain_distractor_auth,same_domain_distractor,local_diagnostic,read_auth,read_auth,minimize_expected_free_energy,categorical_dirichlet,1,3,read_auth,-0.08628655426513662,-0.08628655426513662,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
same_domain_distractor_billing,same_domain_distractor,local_diagnostic,read_billing,read_billing,minimize_expected_free_energy,categorical_dirichlet,1,3,read_billing,-0.0790678029689223,-0.0790678029689223,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
same_domain_distractor_calendar,same_domain_distractor,local_diagnostic,read_calendar,read_calendar,minimize_expected_free_energy,categorical_dirichlet,1,3,read_calendar,-0.0790678029689223,-0.0790678029689223,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
same_domain_distractor_report,same_domain_distractor,local_diagnostic,read_report,read_report,minimize_expected_free_energy,categorical_dirichlet,1,3,read_report,-0.09610256027921199,-0.09610256027921199,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
same_domain_distractor_policy,same_domain_distractor,local_diagnostic,read_policy,read_policy,minimize_expected_free_energy,categorical_dirichlet,1,3,read_policy,-0.0790678029689223,-0.0790678029689223,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
high_failure_cost_auth,high_failure_cost,local_diagnostic,validate_auth,validate_auth,minimize_expected_free_energy,categorical_dirichlet,1,3,validate_auth,-0.03282636299285199,-0.03282636299285199,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
high_failure_cost_billing,high_failure_cost,local_diagnostic,validate_billing,validate_billing,minimize_expected_free_energy,categorical_dirichlet,1,3,validate_billing,-0.022504759718845108,-0.022504759718845108,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
high_failure_cost_calendar,high_failure_cost,local_diagnostic,validate_calendar,validate_calendar,minimize_expected_free_energy,categorical_dirichlet,1,3,validate_calendar,-0.022504759718845108,-0.022504759718845108,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
high_failure_cost_report,high_failure_cost,local_diagnostic,validate_report,validate_report,minimize_expected_free_energy,categorical_dirichlet,1,3,validate_report,-0.04684410908723341,-0.04684410908723341,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
high_failure_cost_policy,high_failure_cost,local_diagnostic,validate_policy,validate_policy,minimize_expected_free_energy,categorical_dirichlet,1,3,validate_policy,-0.022504759718845108,-0.022504759718845108,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
safety_risk_auth,safety_risk,local_diagnostic,summarize_auth,summarize_auth,minimize_expected_free_energy,categorical_dirichlet,1,3,summarize_auth,-0.09868214594771496,-0.09868214594771496,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
safety_risk_billing,safety_risk,local_diagnostic,summarize_billing,summarize_billing,minimize_expected_free_energy,categorical_dirichlet,1,3,summarize_billing,-0.09129688727844726,-0.09129688727844726,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
safety_risk_calendar,safety_risk,local_diagnostic,summarize_calendar,summarize_calendar,minimize_expected_free_energy,categorical_dirichlet,1,3,summarize_calendar,-0.09129688727844726,-0.09129688727844726,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
safety_risk_report,safety_risk,local_diagnostic,summarize_report,summarize_report,minimize_expected_free_energy,categorical_dirichlet,1,3,summarize_report,-0.09868214594771496,-0.09868214594771496,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
safety_risk_policy,safety_risk,local_diagnostic,summarize_policy,summarize_policy,minimize_expected_free_energy,categorical_dirichlet,1,3,summarize_policy,-0.09129688727844726,-0.09129688727844726,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
nonstationary_distribution_auth,nonstationary_distribution,local_diagnostic,current_auth,current_auth,minimize_expected_free_energy,categorical_dirichlet,1,3,current_auth,-0.10706910515121487,-0.10706910515121487,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
nonstationary_distribution_billing,nonstationary_distribution,local_diagnostic,current_billing,current_billing,minimize_expected_free_energy,categorical_dirichlet,1,3,current_billing,-0.10137140615331511,-0.10137140615331511,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
nonstationary_distribution_calendar,nonstationary_distribution,local_diagnostic,current_calendar,current_calendar,minimize_expected_free_energy,categorical_dirichlet,1,3,current_calendar,-0.10137140615331511,-0.10137140615331511,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
nonstationary_distribution_report,nonstationary_distribution,local_diagnostic,current_report,current_report,minimize_expected_free_energy,categorical_dirichlet,1,3,current_report,-0.10706910515121487,-0.10706910515121487,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
nonstationary_distribution_policy,nonstationary_distribution,local_diagnostic,current_policy,current_policy,minimize_expected_free_energy,categorical_dirichlet,1,3,current_policy,-0.10137140615331511,-0.10137140615331511,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
memory_context_dependency_auth,memory_context_dependency,local_diagnostic,retrieve_auth_memory,retrieve_auth_memory,minimize_expected_free_energy,categorical_dirichlet,1,3,retrieve_auth_memory,-0.13176644451369662,-0.13176644451369662,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
memory_context_dependency_billing,memory_context_dependency,local_diagnostic,retrieve_billing_memory,retrieve_billing_memory,minimize_expected_free_energy,categorical_dirichlet,1,3,retrieve_billing_memory,-0.1285803237154258,-0.1285803237154258,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
memory_context_dependency_calendar,memory_context_dependency,local_diagnostic,retrieve_calendar_memory,retrieve_calendar_memory,minimize_expected_free_energy,categorical_dirichlet,1,3,retrieve_calendar_memory,-0.1285803237154258,-0.1285803237154258,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
memory_context_dependency_report,memory_context_dependency,local_diagnostic,retrieve_report_memory,retrieve_report_memory,minimize_expected_free_energy,categorical_dirichlet,1,3,retrieve_report_memory,-0.13176644451369662,-0.13176644451369662,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
memory_context_dependency_policy,memory_context_dependency,local_diagnostic,retrieve_policy_memory,retrieve_policy_memory,minimize_expected_free_energy,categorical_dirichlet,1,3,retrieve_policy_memory,-0.1285803237154258,-0.1285803237154258,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
schema_ambiguity_auth,schema_ambiguity,local_diagnostic,extract_pdf_auth,extract_pdf_auth,minimize_expected_free_energy,categorical_dirichlet,1,3,extract_pdf_auth,-0.10216705089959388,-0.10216705089959388,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
schema_ambiguity_billing,schema_ambiguity,local_diagnostic,extract_pdf_billing,extract_pdf_billing,minimize_expected_free_energy,categorical_dirichlet,1,3,extract_pdf_billing,-0.09858697968171914,-0.09858697968171914,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
schema_ambiguity_calendar,schema_ambiguity,local_diagnostic,extract_pdf_calendar,extract_pdf_calendar,minimize_expected_free_energy,categorical_dirichlet,1,3,extract_pdf_calendar,-0.09858697968171914,-0.09858697968171914,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
schema_ambiguity_report,schema_ambiguity,local_diagnostic,extract_pdf_report,extract_pdf_report,minimize_expected_free_energy,categorical_dirichlet,1,3,extract_pdf_report,-0.10216705089959388,-0.10216705089959388,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
schema_ambiguity_policy,schema_ambiguity,local_diagnostic,extract_pdf_policy,extract_pdf_policy,minimize_expected_free_energy,categorical_dirichlet,1,3,extract_pdf_policy,-0.09858697968171914,-0.09858697968171914,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
unseen_exploration_auth,unseen_exploration,local_diagnostic,search_auth_evidence,search_auth_evidence,minimize_expected_free_energy,categorical_dirichlet,1,3,search_auth_evidence,-0.10269335091543874,-0.10269335091543874,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
unseen_exploration_billing,unseen_exploration,local_diagnostic,search_billing_evidence,search_billing_evidence,minimize_expected_free_energy,categorical_dirichlet,1,3,search_billing_evidence,-0.10010394248065524,-0.10010394248065524,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
unseen_exploration_calendar,unseen_exploration,local_diagnostic,search_calendar_evidence,search_calendar_evidence,minimize_expected_free_energy,categorical_dirichlet,1,3,search_calendar_evidence,-0.10010394248065524,-0.10010394248065524,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
unseen_exploration_report,unseen_exploration,local_diagnostic,search_report_evidence,search_report_evidence,minimize_expected_free_energy,categorical_dirichlet,1,3,search_report_evidence,-0.10269335091543874,-0.10269335091543874,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
unseen_exploration_policy,unseen_exploration,local_diagnostic,search_policy_evidence,search_policy_evidence,minimize_expected_free_energy,categorical_dirichlet,1,3,search_policy_evidence,-0.10010394248065524,-0.10010394248065524,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
stale_history_auth,stale_history,local_diagnostic,read_auth_log,read_auth_log,minimize_expected_free_energy,categorical_dirichlet,1,3,read_auth_log,-0.13305613507652908,-0.13305613507652908,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
stale_history_billing,stale_history,local_diagnostic,read_billing_log,read_billing_log,minimize_expected_free_energy,categorical_dirichlet,1,3,read_billing_log,-0.12928475721080857,-0.12928475721080857,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
stale_history_calendar,stale_history,local_diagnostic,read_calendar_log,read_calendar_log,minimize_expected_free_energy,categorical_dirichlet,1,3,read_calendar_log,-0.12928475721080857,-0.12928475721080857,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
stale_history_report,stale_history,local_diagnostic,read_report_log,read_report_log,minimize_expected_free_energy,categorical_dirichlet,1,3,read_report_log,-0.13305613507652908,-0.13305613507652908,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
stale_history_policy,stale_history,local_diagnostic,read_policy_log,read_policy_log,minimize_expected_free_energy,categorical_dirichlet,1,3,read_policy_log,-0.12928475721080857,-0.12928475721080857,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
preparedness_condition_auth,preparedness_condition,local_diagnostic,inspect_auth_workspace,inspect_auth_workspace,minimize_expected_free_energy,categorical_dirichlet,1,3,inspect_auth_workspace,-0.1382885945025615,-0.1382885945025615,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
preparedness_condition_billing,preparedness_condition,local_diagnostic,inspect_billing_workspace,inspect_billing_workspace,minimize_expected_free_energy,categorical_dirichlet,1,3,inspect_billing_workspace,-0.13497165352302515,-0.13497165352302515,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
preparedness_condition_calendar,preparedness_condition,local_diagnostic,inspect_calendar_workspace,inspect_calendar_workspace,minimize_expected_free_energy,categorical_dirichlet,1,3,inspect_calendar_workspace,-0.13497165352302515,-0.13497165352302515,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
preparedness_condition_report,preparedness_condition,local_diagnostic,inspect_report_workspace,inspect_report_workspace,minimize_expected_free_energy,categorical_dirichlet,1,3,inspect_report_workspace,-0.1382885945025615,-0.1382885945025615,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
preparedness_condition_policy,preparedness_condition,local_diagnostic,inspect_policy_workspace,inspect_policy_workspace,minimize_expected_free_energy,categorical_dirichlet,1,3,inspect_policy_workspace,-0.13497165352302515,-0.13497165352302515,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
multi_step_trace_auth,multi_step_trace,local_diagnostic,dry_run_auth_workflow,dry_run_auth_workflow,minimize_expected_free_energy,categorical_dirichlet,1,3,dry_run_auth_workflow,-0.10653223358801872,-0.10653223358801872,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
multi_step_trace_billing,multi_step_trace,local_diagnostic,dry_run_billing_workflow,dry_run_billing_workflow,minimize_expected_free_energy,categorical_dirichlet,1,3,dry_run_billing_workflow,-0.10653223358801872,-0.10653223358801872,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
multi_step_trace_calendar,multi_step_trace,local_diagnostic,dry_run_calendar_workflow,dry_run_calendar_workflow,minimize_expected_free_energy,categorical_dirichlet,1,3,dry_run_calendar_workflow,-0.10653223358801872,-0.10653223358801872,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
multi_step_trace_report,multi_step_trace,local_diagnostic,dry_run_report_workflow,dry_run_report_workflow,minimize_expected_free_energy,categorical_dirichlet,1,3,dry_run_report_workflow,-0.10653223358801872,-0.10653223358801872,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
multi_step_trace_policy,multi_step_trace,local_diagnostic,dry_run_policy_workflow,dry_run_policy_workflow,minimize_expected_free_energy,categorical_dirichlet,1,3,dry_run_policy_workflow,-0.10653223358801872,-0.10653223358801872,4,1.0,0.5,0.5,1.0,0.25,beta_risk*risk + beta_ambiguity*ambiguity - beta_epistemic*expected_information_gain - beta_pragmatic*pragmatic_value,local categorical EFE decision trace; not official benchmark
